turn	magic	real	ratio
1	162	162	1
2	1128	674	1.67359
3	4175	1568	2.66263
4	11723	2956	3.96583
5	27209	5056	5.38153
6	54145	7897	6.8564
7	95526	11455	8.33924
8	154128	15780	9.7673
9	229529	20811	11.0292
10	319189	26563	12.0163
11	418668	33089	12.6528
12	522868	40558	12.8919
13	624343	48580	12.8519
14	718273	57650	12.4592
15	798311	67234	11.8736
16	862609	77494	11.1313
17	911682	88432	10.3094
18	946134	100148	9.44736
