turn	magic	real	ratio
1	307	307	1
2	1310	1310	1
3	3219	2869	1.12199
4	6416	5014	1.27962
5	11282	7805	1.44548
6	18055	11243	1.60589
7	26869	15179	1.77014
8	38132	19742	1.93152
9	51989	24662	2.10806
10	68680	30122	2.28006
11	88113	35903	2.4542
12	110419	42090	2.6234
13	135867	48783	2.78513
14	164356	55926	2.93881
15	195693	63316	3.09074
16	230100	71171	3.23306
17	267024	79318	3.3665
18	306179	87885	3.48386
