turn	magic	real	ratio
1	0	0	-nan
2	0	0	-nan
3	2	2	1
4	4	2	2
5	12	3	4
6	39	16	2.4375
7	121	45	2.68889
8	334	120	2.78333
9	828	281	2.94662
10	1850	575	3.21739
11	3778	1087	3.47562
12	7226	1869	3.86624
13	13252	3028	4.37649
14	22957	4830	4.753
15	38720	7575	5.11155
16	62322	11219	5.55504
17	97660	16232	6.01651
18	148291	22867	6.48493
