turn	magic	real	ratio
1	1	1	1
2	19	12	1.58333
3	127	46	2.76087
4	591	140	4.22143
5	2156	343	6.28571
6	6244	716	8.72067
7	15798	1342	11.772
8	34855	2462	14.1572
9	67702	4136	16.369
10	119595	6553	18.2504
11	191848	9895	19.3884
12	284063	14269	19.9077
13	392894	20091	19.5557
14	510011	27344	18.6517
15	625537	36252	17.2552
16	729708	47108	15.4901
17	817124	59596	13.7111
18	884510	74168	11.9258
