turn	magic	real	ratio
1	1	1	1
2	2	2	1
3	2	2	1
4	7	7	1
5	26	16	1.625
6	77	36	2.13889
7	158	72	2.19444
8	324	119	2.72269
9	578	193	2.99482
10	975	294	3.31633
11	1517	409	3.70905
12	2194	557	3.93896
13	3003	764	3.93063
14	3906	988	3.95344
15	4776	1221	3.91155
16	5699	1497	3.80695
17	6600	1787	3.69334
18	7366	2098	3.51096
