turn	magic	real	ratio
1	2	2	1
2	54	54	1
3	356	315	1.13016
4	1180	929	1.27018
5	2944	2065	1.42567
6	6400	3898	1.64187
7	12650	6687	1.89173
8	22585	10556	2.13954
9	37685	15632	2.41076
10	59433	22124	2.68636
11	89170	30000	2.97233
12	127966	39758	3.21862
13	176781	51273	3.44784
14	234686	64278	3.65111
15	301091	78853	3.81838
16	375003	95060	3.94491
17	454266	112900	4.02361
18	535139	132181	4.04853
