turn	magic	real	ratio
1	0	0	-nan
2	0	0	-nan
3	8	7	1.14286
4	22	21	1.04762
5	53	40	1.325
6	122	77	1.58442
7	263	131	2.00763
8	478	239	2
9	826	411	2.00973
10	1283	613	2.09299
11	1848	911	2.02854
12	2469	1226	2.01387
13	3205	1617	1.98207
14	3923	2007	1.95466
15	4640	2459	1.88695
16	5348	2952	1.81165
17	6008	3473	1.72992
18	6598	3985	1.65571
