turn	magic	real	ratio
1	1	1	1
2	2	2	1
3	27	9	3
4	178	34	5.23529
5	667	97	6.87629
6	2122	188	11.2872
7	5971	387	15.4289
8	14183	690	20.5551
9	30309	1147	26.4246
10	58144	1847	31.4802
11	102357	2741	37.3429
12	166067	4042	41.0854
13	249364	5752	43.3526
14	351060	7891	44.4887
15	463963	10635	43.626
16	579920	13898	41.7269
17	689201	17816	38.6844
18	783886	22386	35.0168
