turn	magic	real	ratio
1	667	667	1
2	4232	2543	1.66418
3	14979	6054	2.47423
4	38768	11510	3.3682
5	81124	19022	4.26475
6	144566	28829	5.0146
7	228468	41036	5.5675
8	329337	55767	5.90559
9	438794	72905	6.01871
10	548860	92297	5.94667
11	652740	113597	5.7461
12	743775	136695	5.44113
13	819221	161729	5.06539
14	878591	188000	4.67336
15	922450	216032	4.26997
16	952894	245146	3.88705
17	972896	274762	3.54087
18	985560	305698	3.22397
