turn	magic	real	ratio
1	1	1	1
2	9	9	1
3	40	35	1.14286
4	107	82	1.30488
5	253	178	1.42135
6	526	319	1.6489
7	1013	529	1.91493
8	1802	817	2.20563
9	3073	1224	2.51062
10	5033	1771	2.8419
11	7845	2490	3.1506
12	11798	3333	3.53975
13	17226	4435	3.8841
14	24593	5698	4.31608
15	34111	7194	4.74159
16	46229	8911	5.18786
17	61329	10933	5.60953
18	79833	13279	6.01197
