turn	magic	real	ratio
1	86613	86613	1
2	242802	168229	1.44328
3	432867	244573	1.76989
4	619604	316667	1.95664
5	773651	383806	2.01573
6	881268	446991	1.97156
7	945331	505143	1.87141
8	978244	559229	1.74927
9	992729	609035	1.63
10	997872	654358	1.52496
11	999485	696711	1.43458
12	999888	735578	1.35932
13	999981	770897	1.29717
14	999998	803004	1.24532
15	1000000	831758	1.20227
16	1000000	857594	1.16605
17	1000000	880851	1.13527
18	1000000	901261	1.10956
