turn	magic	real	ratio
1	22096	22096	1
2	66018	44060	1.49837
3	129338	65807	1.96541
4	208815	87033	2.39926
5	299560	107881	2.77676
6	396862	128425	3.09022
7	494861	149060	3.31988
8	589255	168958	3.48758
9	676568	188792	3.58367
10	754058	208267	3.62063
11	818525	227004	3.60577
12	871539	246003	3.5428
13	912200	264429	3.4497
14	942340	282299	3.33809
15	963717	300240	3.20982
16	978282	317736	3.07891
17	987482	334938	2.94825
18	993150	351801	2.82304
