turn	magic	real	ratio
1	80	80	1
2	602	590	1.02034
3	2074	1893	1.09562
4	5442	4503	1.20853
5	11994	8957	1.33906
6	23337	15834	1.47385
7	40574	25109	1.61591
8	65017	36895	1.76222
9	97412	51518	1.89083
10	138186	68641	2.01317
11	187256	88497	2.11596
12	243660	110510	2.20487
13	305517	134298	2.27492
14	371780	160095	2.32225
15	439779	187442	2.34621
16	507913	215721	2.35449
17	573406	244854	2.34183
18	635752	274654	2.31474
