turn	magic	real	ratio
1	1315	1315	1
2	5246	5246	1
3	12928	11644	1.11027
4	25319	20227	1.25174
5	43429	30833	1.40852
6	68116	43296	1.57326
7	99736	57460	1.73575
8	139243	73647	1.89068
9	185922	91245	2.03761
10	239206	110063	2.17336
11	298908	130346	2.29319
12	362900	151569	2.39429
13	430426	173637	2.47888
14	499920	196967	2.53809
15	569387	221035	2.576
16	636570	245677	2.59109
17	700004	270771	2.58523
18	758304	296365	2.55868
