turn	magic	real	ratio
1	12343	12343	1
2	44968	44750	1.00487
3	102022	96528	1.05692
4	182347	162434	1.12259
5	282192	237913	1.18611
6	393922	317006	1.24263
7	507989	396120	1.28241
8	617239	472519	1.30627
9	714606	544645	1.31206
10	795961	610812	1.30312
11	860071	670511	1.28271
12	908422	723456	1.25567
13	942172	769777	1.22395
14	964829	809937	1.19124
15	979453	844102	1.16035
16	988455	873147	1.13206
17	993706	897477	1.10722
18	996667	917779	1.08596
