turn	magic	real	ratio
1	336	336	1
2	2186	2138	1.02245
3	7560	6876	1.09948
4	19447	16240	1.19748
5	40935	31419	1.30287
6	74452	53159	1.40055
7	121404	81495	1.48971
8	181872	116633	1.55935
9	254153	157673	1.6119
10	333893	203362	1.64187
11	418177	253266	1.65114
12	502412	305634	1.64384
13	582580	359675	1.61974
14	656651	414139	1.58558
15	722404	467304	1.5459
16	778497	519061	1.49982
17	826038	568919	1.45194
18	865025	616116	1.404
