turn	magic	real	ratio
1	0	0	-nan
2	0	0	-nan
3	10	9	1.11111
4	39	31	1.25806
5	86	55	1.56364
6	221	117	1.88889
7	497	235	2.11489
8	907	396	2.2904
9	1524	645	2.36279
10	2332	939	2.48349
11	3231	1331	2.4275
12	4217	1740	2.42356
13	5204	2191	2.37517
14	6197	2699	2.29604
15	7054	3287	2.14603
16	7796	3851	2.02441
17	8417	4399	1.91339
18	8863	4939	1.79449
