turn	magic	real	ratio
1	3270	3270	1
2	12216	12145	1.00585
3	28885	27280	1.05883
4	54370	47793	1.13761
5	89417	72982	1.22519
6	133184	101133	1.31692
7	185346	131950	1.40467
8	244690	164383	1.48854
9	309540	197966	1.5636
10	377383	231701	1.62875
11	446753	265747	1.68112
12	515545	299605	1.72075
13	582068	332976	1.74808
14	644451	365675	1.76236
15	702157	397918	1.76458
16	753964	429110	1.75704
17	799060	458955	1.74104
18	838392	487707	1.71905
