turn	magic	real	ratio
1	0	0	-nan
2	0	0	-nan
3	1	0	inf
4	11	8	1.375
5	75	45	1.66667
6	292	146	2
7	963	413	2.33172
8	2646	927	2.85437
9	6468	2012	3.21471
10	13791	3867	3.56633
11	27132	6899	3.93274
12	48896	11352	4.30726
13	81465	17943	4.54021
14	127636	26768	4.76823
15	188425	38272	4.92331
16	263163	52464	5.01607
17	349830	69562	5.02904
18	445130	89479	4.97469
