RAW
1000	119955	0.061243
1100	42905	0.0219051
1300	40663	0.0207605
1500	67247	0.0343329
1600	8089	0.00412983
2000	225999	0.115384
2100	4873	0.00248791
2300	220	0.000112321
2400	2715	0.00138614
2600	73165	0.0373544
2700	34479	0.0176032
2900	50029	0.0255423
3000	28667	0.0146359
3200	15257	0.00778945
3400	96	4.90128e-05
3600	17	8.67934e-06
3900	162786	0.0831103
4000	74787	0.0381825
4500	552	0.000281823
4700	57	2.91013e-05
4800	5794	0.00295812
5200	132388	0.0675906
5800	45105	0.0230283
6000	34293	0.0175083
6400	18735	0.00956514
6800	210	0.000107215
6900	38	1.94009e-05
7700	113596	0.0579964
7800	26067	0.0133085
7900	63089	0.0322101
8000	239820	0.12244
8700	1	5.10549e-07
9600	7339	0.00374692
11600	30670	0.0156586
11700	27715	0.0141499
12000	198885	0.101541
16000	14675	0.00749231
18000	39802	0.0203209
24000	5730	0.00292545
32000	1505	0.000768377
36000	181	9.24095e-05
48000	468	0.000238937
64000	10	5.10549e-06

N * 1000
1000	278859	0.142371
2000	391480	0.19987
3000	206823	0.105593
4000	81190	0.0414515
5000	177493	0.090619
6000	53276	0.0272
7000	202752	0.103515
8000	239821	0.12244
9000	7339	0.00374692
11000	58385	0.0298084
12000	198885	0.101541
16000	14675	0.00749231
18000	39802	0.0203209
24000	5730	0.00292545
32000	1505	0.000768377
36000	181	9.24095e-05
48000	468	0.000238937
64000	10	5.10549e-06

total	1958674	5823.98
